Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Data UI/Filter FBI_Detail/PeriodeAwal""), ""01012026"")",Chrome 152.0.7977.83,,,14-09-2026 08:59:12,14-09-2026 08:59:14,1.408s,PASSED
"setText(findTestObject(""Data UI/Filter FBI_Detail/PeriodeAkhir""), ""28022026"")",Chrome 152.0.7977.83,,,14-09-2026 08:59:14,14-09-2026 08:59:15,1.366s,PASSED
"click(findTestObject(""Data UI/Filter FBI_Detail/Product""))",Chrome 152.0.7977.83,,,14-09-2026 08:59:15,14-09-2026 08:59:25,10.160s,PASSED
"click(findTestObject(""Data UI/Filter FBI_Detail/Uker""))",Chrome 152.0.7977.83,,,14-09-2026 08:59:25,14-09-2026 08:59:36,10.159s,PASSED
"click(findTestObject(""Data UI/Filter FBI_Detail/Cabang""))",Chrome 152.0.7977.83,,,14-09-2026 08:59:36,14-09-2026 08:59:46,10.160s,PASSED
"click(findTestObject(""Data UI/Filter FBI_Detail/Type""))",Chrome 152.0.7977.83,,,14-09-2026 08:59:46,14-09-2026 08:59:56,10.152s,PASSED
"click(findTestObject(""Data UI/Filter FBI_Detail/btnProses""))",Chrome 152.0.7977.83,,,14-09-2026 08:59:56,14-09-2026 08:59:57,1.587s,PASSED
delay(3),Chrome 152.0.7977.83,,,14-09-2026 08:59:57,14-09-2026 09:00:00,3.019s,PASSED
"verifyElementPresent(findTestObject(""Data UI/Download/popupDownload""), 0)",Chrome 152.0.7977.83,,,14-09-2026 09:00:00,14-09-2026 09:00:01,0.357s,PASSED
Start listener action : takeScreenshotAfterTestCase,Chrome 152.0.7977.83,,,14-09-2026 09:00:01,14-09-2026 09:00:01,0.394s,PASSED
,,,,,,,
Test Cases/DATA UI/Download/ProsesDownload,Chrome 152.0.7977.83,,,14-09-2026 09:00:01,14-09-2026 09:00:25,23.305s,PASSED
projectDir = getProjectDir(),Chrome 152.0.7977.83,,,14-09-2026 09:00:03,14-09-2026 09:00:03,0.003s,PASSED
"timestamp = Date().format(""dd.MM.yyyy_(HH.mm.ss)"")",Chrome 152.0.7977.83,,,14-09-2026 09:00:03,14-09-2026 09:00:03,0.004s,PASSED
"click(findTestObject(""Data UI/Download/btnDownload""))",Chrome 152.0.7977.83,,,14-09-2026 09:00:03,14-09-2026 09:00:03,0.697s,PASSED
screenshotPathDownload = $projectDir/Screenshots/Evidence_POSITIVE_Popup_Download_$timestamp.png,Chrome 152.0.7977.83,,,14-09-2026 09:00:03,14-09-2026 09:00:03,0.004s,PASSED
takeScreenshot(screenshotPathDownload),Chrome 152.0.7977.83,,,14-09-2026 09:00:03,14-09-2026 09:00:04,0.624s,PASSED
"verifyElementPresent(findTestObject(""Data UI/Download/popupDownload""), 0)",Chrome 152.0.7977.83,,,14-09-2026 09:00:04,14-09-2026 09:00:04,0.311s,PASSED
"comment(""Klik format Excel"")",Chrome 152.0.7977.83,,,14-09-2026 09:00:04,14-09-2026 09:00:04,0.027s,PASSED
"click(findTestObject(""Data UI/Download/formatExcel""))",Chrome 152.0.7977.83,,,14-09-2026 09:00:04,14-09-2026 09:00:05,1.101s,PASSED
delay(5),Chrome 152.0.7977.83,,,14-09-2026 09:00:05,14-09-2026 09:00:10,5.023s,PASSED
"downloadPath = System.getProperty(""user.home"") + ""\Downloads""",Chrome 152.0.7977.83,,,14-09-2026 09:00:10,14-09-2026 09:00:10,0.016s,PASSED
downloadFolder = new java.io.File(downloadPath),Chrome 152.0.7977.83,,,14-09-2026 09:00:10,14-09-2026 09:00:10,0.003s,PASSED
"logInfo(""Mengecek folder download: "" + downloadPath)",Chrome 152.0.7977.83,,,14-09-2026 09:00:10,14-09-2026 09:00:10,0.023s,PASSED
downloadedFile = null,Chrome 152.0.7977.83,,,14-09-2026 09:00:10,14-09-2026 09:00:10,0.003s,PASSED
"for ([i = 0, i < 30, (i++)])",Chrome 152.0.7977.83,,,14-09-2026 09:00:10,14-09-2026 09:00:10,0.081s,PASSED
if (downloadedFile == null),Chrome 152.0.7977.83,,,14-09-2026 09:00:10,14-09-2026 09:00:10,0.002s,PASSED
else,Chrome 152.0.7977.83,,,14-09-2026 09:00:10,14-09-2026 09:00:11,0.020s,PASSED
if (downloadedFile != null),Chrome 152.0.7977.83,,,14-09-2026 09:00:11,14-09-2026 09:00:22,11.384s,PASSED
delay(2),Chrome 152.0.7977.83,,,14-09-2026 09:00:22,14-09-2026 09:00:24,2.014s,PASSED
Start listener action : takeScreenshotAfterTestCase,Chrome 152.0.7977.83,,,14-09-2026 09:00:24,14-09-2026 09:00:25,0.605s,PASSED
