Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pembukuanAPI,,,,17-06-2026 13:49:12,17-06-2026 13:55:52,6m - 39.906s,PASSED
,,,,,,,
Test Cases/API/CoveringValidation/CovVal_26688,,,,17-06-2026 13:49:14,17-06-2026 13:54:20,5m - 6.136s,PASSED
"data = findTestData(""Data Files/CoveringValidation/CoveringVal"")",,,,17-06-2026 13:49:16,17-06-2026 13:49:18,1.919s,PASSED
totalRow = data.getRowNumbers(),,,,17-06-2026 13:49:18,17-06-2026 13:49:18,0.119s,PASSED
"println(""Total Data : "" + totalRow)",,,,17-06-2026 13:49:18,17-06-2026 13:49:18,0.148s,PASSED
"for ([row = 1, row <= totalRow, (row++)])",,,,17-06-2026 13:49:18,17-06-2026 13:54:20,5m - 1.814s,PASSED
,,,,,,,
Test Cases/API/CoveringFlag/CovFlag_26688,,,,17-06-2026 13:54:20,17-06-2026 13:55:51,1m - 31.348s,PASSED
"data = findTestData(""Data Files/CoveringFlag/CoveringFlag"")",,,,17-06-2026 13:54:21,17-06-2026 13:54:21,0.347s,PASSED
totalRow = data.getRowNumbers(),,,,17-06-2026 13:54:21,17-06-2026 13:54:21,0.005s,PASSED
"println(""Total Data : "" + totalRow)",,,,17-06-2026 13:54:21,17-06-2026 13:54:21,0.011s,PASSED
"for ([row = 1, row <= totalRow, (row++)])",,,,17-06-2026 13:54:21,17-06-2026 13:55:51,1m - 30.368s,PASSED
