Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FBI_Detail,Chrome 152.0.7977.83,,,14-09-2026 10:16:21,14-09-2026 10:18:14,1m - 52.473s,PASSED
,,,,,,,
Test Cases/DATA UI/Login/Login_BrinsBook,Chrome 152.0.7977.83,,,14-09-2026 10:16:22,14-09-2026 10:16:50,28.635s,PASSED
projectDir = getProjectDir(),Chrome 152.0.7977.83,,,14-09-2026 10:16:22,14-09-2026 10:16:22,0.005s,PASSED
"timestamp = Date().format(""dd.MM.yyyy_(HH.mm.ss)"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:22,14-09-2026 10:16:22,0.024s,PASSED
"openBrowser(""http://192.168.140.18:8000/login/"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:22,14-09-2026 10:16:27,5.015s,PASSED
"setText(findTestObject(""Data UI/Login/inputUsername""), ""test"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:27,14-09-2026 10:16:28,1.431s,PASSED
"setText(findTestObject(""Data UI/Login/inputPassword""), ""passwordSalah"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:28,14-09-2026 10:16:29,0.971s,PASSED
"click(findTestObject(""Data UI/Login/btnPortal""))",Chrome 152.0.7977.83,,,14-09-2026 10:16:29,14-09-2026 10:16:31,1.215s,PASSED
delay(2),Chrome 152.0.7977.83,,,14-09-2026 10:16:31,14-09-2026 10:16:33,2.050s,PASSED
"loginFailed = verifyTextPresent(""Akun kamu sudah login di perangkat lain nih/login/"", false, OPTIONAL)",Chrome 152.0.7977.83,,,14-09-2026 10:16:33,14-09-2026 10:16:33,0.381s,WARNING
if (loginFailed),Chrome 152.0.7977.83,,,14-09-2026 10:16:33,14-09-2026 10:16:33,0.001s,PASSED
else,Chrome 152.0.7977.83,,,14-09-2026 10:16:33,14-09-2026 10:16:33,0.008s,PASSED
back(),Chrome 152.0.7977.83,,,14-09-2026 10:16:33,14-09-2026 10:16:33,0.124s,PASSED
delay(3),Chrome 152.0.7977.83,,,14-09-2026 10:16:33,14-09-2026 10:16:36,3.016s,PASSED
"click(findTestObject(""Data UI/Login/btnForceLogout1""))",Chrome 152.0.7977.83,,,14-09-2026 10:16:36,14-09-2026 10:16:37,0.598s,PASSED
"setText(findTestObject(""Data UI/Login/inputUsernameForce""), ""TTECH-0251"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:37,14-09-2026 10:16:38,1.173s,PASSED
"click(findTestObject(""Data UI/Login/btnForceLogout2""))",Chrome 152.0.7977.83,,,14-09-2026 10:16:38,14-09-2026 10:16:39,0.655s,PASSED
"setText(findTestObject(""Data UI/Login/inputUsername""), ""TTECH-0251"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:39,14-09-2026 10:16:40,1.209s,PASSED
"setText(findTestObject(""Data UI/Login/inputPassword""), ""qwerty123"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:40,14-09-2026 10:16:41,0.963s,PASSED
"click(findTestObject(""Data UI/Login/btnPortal""))",Chrome 152.0.7977.83,,,14-09-2026 10:16:41,14-09-2026 10:16:43,1.816s,PASSED
delay(3),Chrome 152.0.7977.83,,,14-09-2026 10:16:43,14-09-2026 10:16:46,3.020s,PASSED
"verifyElementPresent(findTestObject(""Data UI/Menu/Brinsbook""), 10)",Chrome 152.0.7977.83,,,14-09-2026 10:16:46,14-09-2026 10:16:46,0.300s,PASSED
delay(1),Chrome 152.0.7977.83,,,14-09-2026 10:16:46,14-09-2026 10:16:47,1.013s,PASSED
screenshotPathFailed2 = $projectDir/Screenshots/Evidence_POSITIVE_Menu BRINS Book_$timestamp.png,Chrome 152.0.7977.83,,,14-09-2026 10:16:47,14-09-2026 10:16:47,0.033s,PASSED
takeScreenshot(screenshotPathFailed2),Chrome 152.0.7977.83,,,14-09-2026 10:16:47,14-09-2026 10:16:47,0.386s,PASSED
"click(findTestObject(""Data UI/Menu/Brinsbook""))",Chrome 152.0.7977.83,,,14-09-2026 10:16:47,14-09-2026 10:16:48,0.604s,PASSED
delay(2),Chrome 152.0.7977.83,,,14-09-2026 10:16:48,14-09-2026 10:16:50,2.006s,PASSED
Start listener action : takeScreenshotAfterTestCase,Chrome 152.0.7977.83,,,14-09-2026 10:16:50,14-09-2026 10:16:50,0.368s,PASSED
,,,,,,,
Test Cases/DATA UI/Filter FBI_Detail/Filter_FBI_Detail,Chrome 152.0.7977.83,,,14-09-2026 10:16:50,14-09-2026 10:17:46,55.332s,PASSED
projectDir = getProjectDir(),Chrome 152.0.7977.83,,,14-09-2026 10:16:50,14-09-2026 10:16:50,0.001s,PASSED
"timestamp = Date().format(""dd.MM.yyyy_(HH.mm.ss)"")",Chrome 152.0.7977.83,,,14-09-2026 10:16:50,14-09-2026 10:16:50,0.002s,PASSED
"click(findTestObject(""Data UI/Menu/ReportingPortal""))",Chrome 152.0.7977.83,,,14-09-2026 10:16:50,14-09-2026 10:16:53,2.320s,PASSED
