Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
screenshotPathAsmik = $projectDir/Screenshots/Evidence_POSITIVE_Data ASMIK_$timestamp.png,Chrome 153.0.8010.48,,,22-09-2026 11:39:03,22-09-2026 11:39:03,0.002s,PASSED
takeScreenshot(screenshotPathAsmik),Chrome 153.0.8010.48,,,22-09-2026 11:39:03,22-09-2026 11:39:04,0.787s,PASSED
delay(2),Chrome 153.0.8010.48,,,22-09-2026 11:39:04,22-09-2026 11:39:06,2.014s,PASSED
Start listener action : takeScreenshotAfterTestCase,Chrome 153.0.8010.48,,,22-09-2026 11:39:06,22-09-2026 11:39:06,0.345s,PASSED
,,,,,,,
Test Cases/DATA UI/BrinsAsmik/Dashboard/Dashboard Data,Chrome 153.0.8010.48,,,22-09-2026 11:39:06,22-09-2026 11:39:34,27.486s,PASSED
projectDir = getProjectDir(),Chrome 153.0.8010.48,,,22-09-2026 11:39:06,22-09-2026 11:39:06,0.002s,PASSED
"timestamp = Date().format(""dd.MM.yyyy_(HH.mm.ss)"")",Chrome 153.0.8010.48,,,22-09-2026 11:39:06,22-09-2026 11:39:06,0.002s,PASSED
delay(5),Chrome 153.0.8010.48,,,22-09-2026 11:39:06,22-09-2026 11:39:11,5.020s,PASSED
screenshotPathCanvas = $projectDir/Screenshots/Evidence_POSITIVE_DashCanvas_$timestamp.png,Chrome 153.0.8010.48,,,22-09-2026 11:39:11,22-09-2026 11:39:11,0.002s,PASSED
takeScreenshot(screenshotPathCanvas),Chrome 153.0.8010.48,,,22-09-2026 11:39:11,22-09-2026 11:39:12,0.369s,PASSED
delay(5),Chrome 153.0.8010.48,,,22-09-2026 11:39:12,22-09-2026 11:39:17,5.019s,PASSED
screenshotPathFBranch = $projectDir/Screenshots/Evidence_POSITIVE_FilterBranch_$timestamp.png,Chrome 153.0.8010.48,,,22-09-2026 11:39:17,22-09-2026 11:39:17,0.001s,PASSED
takeScreenshot(screenshotPathFBranch),Chrome 153.0.8010.48,,,22-09-2026 11:39:17,22-09-2026 11:39:17,0.375s,PASSED
delay(5),Chrome 153.0.8010.48,,,22-09-2026 11:39:17,22-09-2026 11:39:22,5.015s,PASSED
screenshotPathFTahun = $projectDir/Screenshots/Evidence_POSITIVE_FilterTahun_$timestamp.png,Chrome 153.0.8010.48,,,22-09-2026 11:39:22,22-09-2026 11:39:22,0.003s,PASSED
takeScreenshot(screenshotPathFTahun),Chrome 153.0.8010.48,,,22-09-2026 11:39:22,22-09-2026 11:39:23,0.381s,PASSED
delay(5),Chrome 153.0.8010.48,,,22-09-2026 11:39:23,22-09-2026 11:39:28,5.020s,PASSED
screenshotPathFBulan = $projectDir/Screenshots/Evidence_POSITIVE_FilterBulan_$timestamp.png,Chrome 153.0.8010.48,,,22-09-2026 11:39:28,22-09-2026 11:39:28,0.003s,PASSED
takeScreenshot(screenshotPathFBulan),Chrome 153.0.8010.48,,,22-09-2026 11:39:28,22-09-2026 11:39:28,0.375s,PASSED
delay(5),Chrome 153.0.8010.48,,,22-09-2026 11:39:28,22-09-2026 11:39:33,5.019s,PASSED
screenshotPathFApril = $projectDir/Screenshots/Evidence_POSITIVE_FilterBulanApril26_$timestamp.png,Chrome 153.0.8010.48,,,22-09-2026 11:39:33,22-09-2026 11:39:33,0.002s,PASSED
takeScreenshot(screenshotPathFApril),Chrome 153.0.8010.48,,,22-09-2026 11:39:33,22-09-2026 11:39:33,0.370s,PASSED
Start listener action : takeScreenshotAfterTestCase,Chrome 153.0.8010.48,,,22-09-2026 11:39:33,22-09-2026 11:39:34,0.336s,PASSED
